id,params,acc
net_117,1389,0.8671000599861145
net_118,2630,0.9234000444412231
net_119,5237,0.9269000291824341
net_120,1634,0.9058000445365906
net_121,372,0.6306000351905823
net_122,18647,0.9737000465393066
net_123,23153,0.9737000465393066
net_124,23276,0.9745000600814819
net_125,946,0.8181000351905823
net_126,18443,0.9761000275611877
net_127,975,0.7321000099182129
net_128,10002,0.9508000612258911
net_129,550,0.5138000249862671
net_130,1634,0.906000018119812
net_131,372,0.5659000277519226
net_132,18443,0.9753000736236572
net_133,2603,0.9081000685691833
net_134,1227,0.8597000241279602
net_135,3991,0.8700000643730164
net_136,3118,0.9085000157356262
net_137,2417,0.9292000532150269
net_138,579,0.7333000302314758
net_139,405,0.6496000289916992
net_140,372,0.6274000406265259
net_141,18443,0.9737000465393066
net_142,2417,0.9320000410079956
net_143,1000,0.8111000657081604
net_144,20631,0.9687000513076782
net_145,783,0.8322000503540039
net_146,372,0.6450000405311584
net_147,2259,0.9231000542640686
net_148,281,0.4366000294685364
net_149,14901,0.9397000670433044
net_150,18443,0.971500039100647
net_151,2417,0.9264000654220581
net_152,281,0.42180001735687256
net_153,4487,0.9434000253677368
net_154,4490,0.9389000535011292
net_155,305,0.3335000276565552
net_156,2905,0.9275000691413879
net_157,1595,0.8837000131607056
net_158,8052,0.9109000563621521
net_159,9717,0.9521000385284424
net_160,18443,0.973300039768219
net_161,2417,0.928100049495697
net_162,281,0.42480000853538513
net_163,240,0.4086000323295593
net_164,21735,0.972100019454956
net_165,622,0.5002000331878662
net_166,11083,0.9694000482559204
net_167,1194,0.8194000124931335
net_168,4033,0.9250000715255737
net_169,19591,0.9707000255584717
net_170,18443,0.9729000329971313
net_171,2417,0.9321000576019287
net_172,240,0.4353000223636627
net_173,500,0.6743000149726868
net_174,2637,0.9305000305175781
net_175,744,0.6223000288009644
net_176,17412,0.9690000414848328
net_177,3583,0.9118000268936157
net_178,10068,0.9593000411987305
net_179,7441,0.9612000584602356
net_180,18443,0.9760000705718994
net_181,2417,0.9264000654220581
net_182,240,0.45190003514289856
net_183,326,0.4449000358581543
net_184,213,0.26430001854896545
net_185,17223,0.9725000262260437
net_186,2065,0.8488000631332397
net_187,5309,0.8831000328063965
net_188,5820,0.9463000297546387
net_189,4625,0.9203000664710999
net_190,18443,0.9746000170707703
net_191,2417,0.9285000562667847
net_192,213,0.25950002670288086
net_193,492,0.5670000314712524
net_194,4558,0.9492000341415405
net_195,12554,0.947100043296814
net_196,10817,0.95250004529953
net_197,489,0.4522000253200531
net_198,18300,0.9745000600814819
net_199,4625,0.9411000609397888
net_200,18443,0.9725000262260437
net_201,2417,0.9258000254631042
net_202,213,0.28600001335144043
net_203,5213,0.954200029373169
net_204,4505,0.7479000091552734
net_205,17267,0.9691000580787659
net_206,1662,0.9021000266075134
net_207,877,0.7861000299453735
net_208,3044,0.9157000184059143
net_209,266,0.304500013589859
net_210,18443,0.973300039768219
net_211,213,0.2558000087738037
net_212,1662,0.9040000438690186
net_213,456,0.598300039768219
net_214,3128,0.9429000616073608
net_215,428,0.3968000113964081
net_216,1597,0.8873000144958496
net_217,6836,0.9590000510215759
net_218,1932,0.8800000548362732
net_219,509,0.6031000018119812
net_220,18443,0.9732000231742859
net_221,213,0.2597000002861023
net_222,1662,0.9005000591278076
net_223,1905,0.8260000348091125
net_224,3783,0.944100022315979
net_225,1708,0.5993000268936157
net_226,1754,0.886400043964386
net_227,266,0.3809000253677368
net_228,1604,0.8998000621795654
net_229,635,0.46400001645088196
net_230,18443,0.9748000502586365
net_231,213,0.28550001978874207
net_232,1604,0.8977000713348389
net_233,240,0.27090001106262207
net_234,2298,0.9043000340461731
net_235,2259,0.9231000542640686
net_236,912,0.7666000127792358
net_237,3997,0.9098000526428223
net_238,2001,0.8949000239372253
net_239,1806,0.6289000511169434
net_240,18443,0.9726000428199768
net_241,213,0.2677000164985657
net_242,2259,0.921000063419342
net_243,2376,0.9152000546455383
net_244,4742,0.9136000275611877
net_245,1476,0.8959000706672668
net_246,16854,0.9706000685691833
net_247,19578,0.9726000428199768
net_248,5837,0.9496000409126282
net_249,11273,0.9261000156402588
net_250,18443,0.9746000170707703
net_251,213,0.2621999979019165
net_252,1476,0.8960000276565552
net_253,1400,0.9136000275611877
net_254,1386,0.8696000576019287
net_255,186,0.3044000267982483
net_256,222,0.2969000041484833
net_257,23196,0.9747000336647034
net_258,4177,0.9216000437736511
net_259,1511,0.8113000392913818
net_260,1400,0.9167000651359558
net_261,186,0.3359000086784363
net_262,23196,0.973300039768219
net_263,1575,0.9173000454902649
net_264,4716,0.9336000680923462
net_265,21669,0.971500039100647
net_266,5139,0.938800036907196
net_267,1143,0.8867000341415405
net_268,1272,0.8329000473022461
net_269,2382,0.9345000386238098
net_270,1400,0.9113000631332397
net_271,186,0.2954000234603882
net_272,23196,0.9717000722885132
net_273,2076,0.891800045967102
net_274,222,0.29180002212524414
net_275,1536,0.8652000427246094
net_276,1339,0.8967000246047974
net_277,10099,0.8942000269889832
net_278,158,0.22380000352859497
net_279,1121,0.7843000292778015
net_280,1400,0.9188000559806824
net_281,23196,0.9730000495910645
net_282,158,0.234700009226799
net_283,514,0.46330001950263977
net_284,784,0.5160000324249268
net_285,483,0.36830002069473267
net_286,17503,0.9689000248908997
net_287,4043,0.9504000544548035
net_288,4771,0.9473000168800354
net_289,720,0.5998000502586365
net_290,1400,0.9111000299453735
net_291,23196,0.9746000170707703
net_292,158,0.22300000488758087
net_293,5508,0.9540000557899475
net_294,3457,0.9348000288009644
net_295,1921,0.8434000611305237
net_296,660,0.509600043296814
net_297,158,0.21890000998973846
net_298,4781,0.8410000205039978
net_299,1412,0.7022000551223755
net_300,1400,0.9117000699043274
net_301,23196,0.9719000458717346
net_302,158,0.21630001068115234
net_303,7881,0.95250004529953
net_304,458,0.45840001106262207
net_305,851,0.6190000176429749
net_306,1025,0.8296000361442566
net_307,7799,0.9571000337600708
net_308,186,0.4002000093460083
net_309,2245,0.9261000156402588
net_310,1400,0.9111000299453735
net_311,23196,0.970300018787384
net_312,158,0.22540001571178436
net_313,4177,0.919700026512146
net_314,2123,0.9341000318527222
net_315,20933,0.971000075340271
net_316,19553,0.9704000353813171
net_317,1688,0.9099000692367554
net_318,978,0.8671000599861145
net_319,158,0.23820000886917114
net_320,1400,0.9167000651359558
net_321,158,0.22700001299381256
